駅名,乗降客数,路線名,事業者名,lat,lon,都道府県
お台場海浜公園,11171.0,東京臨海新交通臨海線,ゆりかもめ,35.629899,139.778736,東京都
お花茶屋,29420.0,本線,京成電鉄,35.747582,139.840225,東京都
すずかけ台,9855.0,田園都市線,東急電鉄,35.516933,139.481488,東京都
つくし野,10260.0,田園都市線,東急電鉄,35.527599,139.485126,東京都
ときわ台,40737.0,東上本線,東武鉄道,35.758661,139.689682,東京都
めじろ台,13464.0,高尾線,京王電鉄,35.643362,139.307719,東京都
テレコムセンター,8118.0,東京臨海新交通臨海線,ゆりかもめ,35.617678,139.77957,東京都
一之江,39354.0,10号線新宿線,東京都,35.686006,139.882892,東京都
一橋学園,18959.0,多摩湖線,西武鉄道,35.722245,139.480089,東京都
万願寺,7504.0,多摩都市モノレール線,多摩都市モノレール,35.671,139.420153,東京都
三ノ輪,39685.0,2号線日比谷線,東京地下鉄,35.72936,139.791231,東京都
三ノ輪橋,3266.0,荒川線,東京都,35.732193,139.791397,東京都
三河島,21102.0,常磐線,東日本旅客鉄道,35.733304,139.777676,東京都
三田,86130.0,1号線浅草線,東京都,35.647675,139.74846,東京都
三越前,100581.0,11号線半蔵門線,東京地下鉄,35.685449,139.773456,東京都
三軒茶屋,124990.0,田園都市線,東急電鉄,35.643507,139.671022,東京都
三鷹,158830.0,中央線,東日本旅客鉄道,35.702665,139.560696,東京都
三鷹台,18309.0,井の頭線,京王電鉄,35.692222,139.588915,東京都
上中里,13094.0,東北線,東日本旅客鉄道,35.74658,139.746955,東京都
上井草,17431.0,新宿線,西武鉄道,35.725107,139.603579,東京都
上北台,12103.0,多摩都市モノレール線,多摩都市モノレール,35.745714,139.415844,東京都
上北沢,13730.0,京王線,京王電鉄,35.668837,139.623497,東京都
上板橋,45028.0,東上本線,東武鉄道,35.763494,139.676433,東京都
上町,8814.0,世田谷線,東急電鉄,35.643395,139.646635,東京都
上石神井,38002.0,新宿線,西武鉄道,35.726218,139.592081,東京都
上野,295554.0,東北線,東日本旅客鉄道,35.713557,139.776788,東京都
上野広小路,18995.0,3号線銀座線,東京地下鉄,35.70764,139.773039,東京都
上野御徒町,47215.0,12号線大江戸線,東京都,35.707946,139.773733,東京都
上野毛,20304.0,大井町線,東急電鉄,35.612009,139.638859,東京都
下丸子,29684.0,東急多摩川線,東急電鉄,35.571154,139.685774,東京都
下井草,20920.0,新宿線,西武鉄道,35.723941,139.624328,東京都
下北沢,112116.0,小田原線,小田急電鉄,35.66131,139.667494,東京都
下板橋,14578.0,東上本線,東武鉄道,35.745663,139.714875,東京都
下神明,8289.0,大井町線,東急電鉄,35.608817,139.726324,東京都
下落合,10815.0,新宿線,西武鉄道,35.715833,139.695155,東京都
下赤塚,14392.0,東上本線,東武鉄道,35.77052,139.644574,東京都
下高井戸,38221.0,京王線,京王電鉄,35.666143,139.641385,東京都
不動前,26931.0,目黒線,東急電鉄,35.625675,139.713436,東京都
世田谷,7592.0,世田谷線,東急電鉄,35.643423,139.650634,東京都
世田谷代田,9041.0,小田原線,小田急電鉄,35.658171,139.661245,東京都
両国,62602.0,総武線,東日本旅客鉄道,35.696114,139.792537,東京都
中井,25357.0,新宿線,西武鉄道,35.715027,139.686823,東京都
中央大学・明星大学,29320.0,多摩都市モノレール線,多摩都市モノレール,35.642114,139.408211,東京都
中延,24417.0,1号線浅草線,東京都,35.605706,139.712714,東京都
中村橋,35844.0,池袋線,西武鉄道,35.736802,139.637798,東京都
中板橋,25433.0,東上本線,東武鉄道,35.756134,139.69471,東京都
中河原,23040.0,京王線,京王電鉄,35.659529,139.457567,東京都
中目黒,155782.0,東横線,東急電鉄,35.644284,139.698881,東京都
中神,21206.0,青梅線,東日本旅客鉄道,35.70905,139.375821,東京都
中野,239692.0,中央線,東日本旅客鉄道,35.705805,139.665964,東京都
中野坂上,65946.0,4号線丸ノ内線,東京地下鉄,35.697113,139.68263,東京都
中野富士見町,17111.0,4号線丸ノ内線分岐線,東京地下鉄,35.690585,139.667215,東京都
中野新橋,18258.0,4号線丸ノ内線分岐線,東京地下鉄,35.692252,139.67402,東京都
乃木坂,34694.0,9号線千代田線,東京地下鉄,35.666394,139.726239,東京都
久が原,14618.0,池上線,東急電鉄,35.579819,139.685357,東京都
久我山,36028.0,井の頭線,京王電鉄,35.687778,139.599721,東京都
久米川,28861.0,新宿線,西武鉄道,35.75002,139.472006,東京都
九品仏,12019.0,大井町線,東急電鉄,35.605399,139.661025,東京都
九段下,236661.0,5号線東西線,東京地下鉄,35.695474,139.751485,東京都
亀戸,99236.0,総武線,東日本旅客鉄道,35.697587,139.82609,東京都
亀戸水神,23651.0,亀戸線,東武鉄道,35.700281,139.8337,東京都
亀有,74798.0,常磐線,東日本旅客鉄道,35.766552,139.847474,東京都
二子玉川,133086.0,田園都市線,東急電鉄,35.612009,139.627277,東京都
二重橋前,27886.0,9号線千代田線,東京地下鉄,35.680421,139.761624,東京都
五反田,204974.0,山手線,東日本旅客鉄道,35.626288,139.724297,東京都
五反野,33151.0,伊勢崎線,東武鉄道,35.766079,139.80931,東京都
井の頭公園,6320.0,井の頭線,京王電鉄,35.697499,139.582721,東京都
井荻,17126.0,新宿線,西武鉄道,35.724525,139.614661,東京都
京急蒲田,54259.0,本線,京浜急行電鉄,35.560794,139.723771,東京都
